rank,total_error_pct,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,π_к_полн,η_к_полн,err_π_к_pct,err_η_к_pct
183,8.555750000018133,0.35,0.4,0.6,0.25,0.18,18.445446962414735,0.8192573017425898,1.3486096835974493,7.207140316420685
184,8.567253598680255,0.6,0.6,0.4,0.25,0.2,18.017309978949896,0.8161113768653824,1.0037913244511154,7.563462274229139
185,8.575273606396541,0.35,0.4,0.4,0.3,0.22,18.174391793951006,0.8084204759320304,0.14070442884062118,8.43456917755592
186,8.57843980761171,0.55,0.4,0.4,0.3,0.19,18.23381546170015,0.808790658724721,0.18579924011071816,8.392640567500994
187,8.588214620286678,0.6,0.5,0.35,0.3,0.25,17.911585269405638,0.8210550567172431,1.5846963219470407,7.003518298339638
188,8.597110598766676,0.3,0.5,0.55,0.25,0.17,17.796828479431667,0.8265434067716316,2.2152281349908347,6.381882463775841
189,8.602949208449436,0.5,0.6,0.4,0.25,0.15,18.387583487349456,0.8160336082471562,1.0306785019200926,7.572270706529342
190,8.603806978441044,0.35,0.45,0.55,0.25,0.21,18.656932582102527,0.8290922529247078,2.5106185829809236,6.093188395460122
191,8.607047988675182,0.35,0.45,0.6,0.25,0.24,18.529515378834198,0.822882585785312,1.8105240595285632,6.796523929146618
192,8.60771036307881,0.45,0.6,0.4,0.25,0.24,18.391596787250595,0.8161862591374792,1.0527296002779998,7.554980762800811
193,8.609435948197197,0.45,0.45,0.4,0.3,0.19,17.844139331545968,0.8241395218896185,1.9552783980990744,6.654157550098123
194,8.612786910468056,0.55,0.6,0.4,0.25,0.19,18.00474050924269,0.8163191179095637,1.0728543448203771,7.539932565647679
195,8.635385423359546,0.35,0.55,0.45,0.25,0.16,18.61272500924815,0.8266689258663459,2.267719831033805,6.367665592325741
196,8.635964359845593,0.4,0.5,0.55,0.25,0.19,17.79228293162757,0.8264208775583375,2.240203672375976,6.3957606874696165
197,8.643891574488428,0.45,0.45,0.35,0.3,0.18,18.307582494208464,0.8117912570158652,0.5911126055410171,8.052778968947411
198,8.655284937647991,0.45,0.45,0.35,0.3,0.23,18.085607142863573,0.8120210394087228,0.6285321820682765,8.026752755579714
199,8.658530578431636,0.5,0.55,0.45,0.25,0.16,18.61122976729524,0.826392045295356,2.259504215907909,6.399026362523726
200,8.662636608132498,0.35,0.45,0.4,0.3,0.24,17.837076654482644,0.8240124323965856,1.994084316029426,6.668552292103072
201,8.667151863434535,0.55,0.45,0.4,0.3,0.18,18.554736828079825,0.8235754369409273,1.949103450988055,6.71804841244648
202,8.669326933987707,0.3,0.45,0.6,0.25,0.17,17.844097590818354,0.8236127762402327,1.9555077427562932,6.713819191231414
203,8.670804908861603,0.35,0.6,0.4,0.25,0.18,17.98371748766384,0.8168267178440664,1.1883654523964873,7.482439456465115
204,8.675144576933286,0.35,0.5,0.35,0.3,0.18,17.9114789265827,0.8202927210276311,1.5852806231719783,7.089863953761309
205,8.694331803192776,0.5,0.6,0.4,0.25,0.24,17.985786572581173,0.8165186296209658,1.1769968539495963,7.517334949243179
206,8.69434457416159,0.45,0.5,0.35,0.3,0.19,17.903416463281317,0.8205143193842024,1.6295798720806702,7.06476470208092
207,8.701931897415383,0.4,0.45,0.6,0.25,0.16,17.84049172750182,0.8234998325105292,1.9753201785614212,6.726611718853961
208,8.710696297968928,0.35,0.5,0.5,0.25,0.2,18.720607750934086,0.8312374441110149,2.8604821479894866,5.8502141499794424
209,8.726345942112768,0.6,0.55,0.45,0.25,0.23,17.76425191743136,0.8269827033450948,2.3942202338936274,6.33212570821914
210,8.734250814416363,0.6,0.5,0.3,0.3,0.23,18.176133120077445,0.806932412428941,0.13113670287117757,8.603114111545187
211,8.734409040516244,0.55,0.45,0.45,0.3,0.17,17.682439654665725,0.8308802563807801,2.843738161177333,5.890670879338911
212,8.739808282707473,0.6,0.45,0.4,0.3,0.16,17.812337936233916,0.8245311764967258,2.1300113393740814,6.609796943333392
213,8.747444891586467,0.6,0.45,0.35,0.3,0.19,18.049654989634362,0.8129514213566496,0.8260714855254779,7.92137340606099
